path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size
41.997864,0.1%,95,72.389848,0.1%,75,actor_critic,50,256MB
39.85872,0.1%,50,73.463568,0.1%,66,actor_critic,50,256MB
42.800136,0.1%,47,74.292384,0.1%,85,actor_critic,50,256MB
42.800136,0.1%,47,72.845856,0.1%,63,actor_critic,50,256MB
39.620008,0.1%,47,74.714704,0.1%,102,actor_critic,50,256MB
41.991328,0.1%,68,73.581632,0.1%,34,actor_critic,50,256MB
41.225624,0.1%,45,73.510448,0.1%,55,actor_critic,50,256MB
36.152176,0.1%,71,72.62184,0.1%,65,actor_critic,50,256MB
40.178808,0.1%,59,74.224912,0.1%,55,actor_critic,50,256MB
40.783072,0.1%,91,74.388104,0.1%,65,actor_critic,50,256MB
40.639736,0.1%,59,90.590392,0.1%,23,actor_critic,50,256MB
40.95064,0.1%,93,91.11432,0.1%,93,actor_critic,50,256MB
44.210304,0.1%,98,89.327272,0.1%,77,actor_critic,50,256MB
41.792032,0.1%,93,98.39036,0.1%,47,actor_critic,50,256MB
44.937792,0.1%,57,67.7696,0.1%,43,actor_critic,50,256MB
44.937792,0.1%,57,91.664376,0.1%,63,actor_critic,50,256MB
41.196432,0.1%,90,78.146216,0.1%,47,actor_critic,50,256MB
44.629504,0.1%,83,101.743224,0.1%,63,actor_critic,50,256MB
44.629504,0.1%,83,102.640456,0.1%,68,actor_critic,50,256MB
44.629504,0.1%,83,80.094264,0.1%,66,actor_critic,50,256MB
43.243184,0.1%,60,100.996,0.1%,72,actor_critic,50,256MB
41.278096,0.1%,55,101.263096,0.1%,77,actor_critic,50,256MB
44.847816,0.1%,61,90.741968,0.1%,83,actor_critic,50,256MB
42.954856,0.1%,52,73.203192,0.1%,30,actor_critic,50,256MB
42.944336,0.1%,47,104.623104,0.1%,60,actor_critic,50,256MB
44.953368,0.1%,44,99.561944,0.1%,71,actor_critic,50,256MB
44.953368,0.1%,44,96.597432,0.1%,67,actor_critic,50,256MB
39.91344,0.1%,47,104.65736,0.1%,74,actor_critic,50,256MB
44.167008,0.1%,62,71.021096,0.1%,45,actor_critic,50,256MB
44.167008,0.1%,62,98.764984,0.1%,48,actor_critic,50,256MB
43.194264,0.1%,67,102.130512,0.1%,90,actor_critic,50,256MB
43.194264,0.1%,67,103.771576,0.1%,38,actor_critic,50,256MB
43.325728,0.1%,57,102.659472,0.1%,29,actor_critic,50,256MB
43.258768,0.1%,37,37.199032,0.1%,75,actor_critic,50,256MB
43.325728,0.1%,57,38.200752,0.1%,73,actor_critic,50,256MB
43.258768,0.1%,37,37.072304,0.1%,87,actor_critic,50,256MB
44.253488,0.1%,44,39.99352,0.1%,98,actor_critic,50,256MB
44.253488,0.1%,44,39.683904,0.1%,36,actor_critic,50,256MB
41.326296,0.1%,65,40.667424,0.1%,72,actor_critic,50,256MB
41.03836,0.1%,52,40.25604,0.1%,79,actor_critic,50,256MB
41.03836,0.1%,52,40.116352,0.1%,75,actor_critic,50,256MB
41.568304,0.1%,66,41.130264,0.1%,86,actor_critic,50,256MB
42.365392,0.1%,39,40.462936,0.1%,55,actor_critic,50,256MB
42.365392,0.1%,39,40.248952,0.1%,78,actor_critic,50,256MB
43.418048,0.1%,53,39.404168,0.1%,92,actor_critic,50,256MB
44.40192,0.1%,45,40.739896,0.1%,40,actor_critic,50,256MB
43.418048,0.1%,53,40.357528,0.1%,65,actor_critic,50,256MB
44.40192,0.1%,45,40.817016,0.1%,56,actor_critic,50,256MB
43.817792,0.1%,58,40.478664,0.1%,71,actor_critic,50,256MB
43.817792,0.1%,58,40.9382,0.1%,71,actor_critic,50,256MB
38.976816,0.1%,46,40.336856,0.1%,72,actor_critic,50,256MB
43.38688,0.1%,60,39.787408,0.1%,85,actor_critic,50,256MB
43.38688,0.1%,60,39.606536,0.1%,64,actor_critic,50,256MB
41.997888,0.1%,70,39.108896,0.1%,91,actor_critic,50,256MB
41.997888,0.1%,70,38.563672,0.1%,101,actor_critic,50,256MB
